name,image
가스디알정50밀리그램(디메크로틴산마그네슘),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300104
페라트라정2.5밀리그램(레트로졸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300107
졸뎀속붕정(졸피뎀타르타르산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300128
가스프렌정(모사프리드시트르산염이수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300143
바르탄정(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300155
리피논정80밀리그램(아토르바스타틴칼슘삼수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300161
사르발탄정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153432591328100009
가스베트정5밀리그램(모사프리드시트르산염수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500103
아푸르탄정150밀리그램(이르베사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300198
발사르텔정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OCNrLiTjPI
발사르텔정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXa2J_Kd2y
동광모니플루메이트정350mg,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152648520364900061
에스시탈정5밀리그램(에스시탈로프람옥살산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700016
발산정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298763309300033
가스리드정5mg(모사프리드시트르산염수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700025
엑스반정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148665498867700136
뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700079
발트렙정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700046
수로신디정(탐스로신염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700049
로수로드정10밀리그램(로수바스타틴칼슘),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706768099900035
슈니펜정(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700065
디오살탄정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500025
디오살탄정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500031
칸데사르정8밀리그램(칸데사르탄실렉세틸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800062
칸데사르정16밀리그램(칸데사르탄실렉세틸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800068
디로탄정160mg(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700097
인케어정(옥수수불검화정량추출물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700117
제이코정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100152
노페인에프정(수출용),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700155
깅코탄연질캡슐120밀리그램(은행엽건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mky9VD2vUV
리버풀350연질캡슐(밀크시슬열매건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031286653200142
모니맥정(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700170
모니필정350밀리그램(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6BNX
모니메르정(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152648520364900007
모니트정350밀리그램(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O1A3H02Ph8
키비칼츄어블정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700190
칸데사르플러스정16/12.5밀리그램,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800074
코프나캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800014
굿스펜연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800029
가스파플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800050
마이칼디정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800053
모빅캡슐7.5밀리그램(멜록시캄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317963768200071
모빅캡슐15밀리그램(멜록시캄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317963768200077
코큐렉스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800062
발크로버정500밀리그램(발라시클로비르염산염수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200040
엔에이피정(나프록센나트륨),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800080
메디헤모연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000003
이지에스정(방기황기탕건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500115
제일아노민정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100146
오렉스캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400062
선콜정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400068
베리콜노즈정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400071
마그놀정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400074
덴티콤캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400077
리버파워포르테연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400080
본렉스이알캡슐15밀리그램(시클로벤자프린염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Me1jz_9pfx
